id,name_de,name,name_de_html,category,co2_for_16fu_without_air,co2_for_100g_without_air,co2_base,sum_transport_for_16fu,land_transport,sea_transport,air_transport,food_unit,energy_in_kcal,kcal_for_16fu,weight_for_16fu,co2_for_100kcal_without_air
kartoffeln,Kartoffeln,Potatoes,Kartoffeln,vegetables & mushrooms,144,14.43,12.0,24,2.3,0.17,0.0,0.16,76.0,760,1000,18.94736842105263
kastanien,Kastanien,Chestnuts,Kastanien,nuts & seeds,1142,217.62,210.0,40,7.6,0.0,0.0,0.305,200.0,1049,525,108.8655862726406
kichererbsenmehl,Kichererbsenmehl,Chickpea flour,Kicher&shy;erbsenmehl,legumes,204,108.26,79.0,55,20.8,8.43,0.0,0.85,360.0,678,188,30.08849557522124
laugenbrezel,Laugenbrezel,Lye roll,Laugen&shy;brezel,starches & bread,256,94.35,87.0,20,5.3,2.02,0.0,0.59,366.0,993,271,25.780463242698893
laugengebaeck,Laugengebäck,Soft pretzel,Laugengebäck,starches & bread,226,83.35,76.0,20,5.3,2.02,0.0,0.59,365.43,991,271,22.805247225025223
linsenmehl,Linsenmehl,Lentil flour,Linsenmehl,legumes,123,100.98,66.0,43,23.6,11.38,0.0,1.31,396.48,484,122,25.41322314049587
maisgriess,Maisgrieß,Corn grits,Maisgrieß,starches & bread,182,63.62,60.0,10,3.6,0.0,0.0,0.56,353.49,1010,286,18.019801980198014
maniok,Maniok,Manioc,Maniok,vegetables & mushrooms,244,35.07,8.0,188,15.1,12.0,0.0,0.23,159.07,1107,696,22.04155374887082
mehrkornmehl,Mehrkornmehl,Multigrain flour,Mehrkornmehl,starches & bread,171,68.26,58.8,24,7.9,1.61,0.0,0.64,342.0,855,250,20.0
nudeln,Nudeln,Noodles,Nudeln,starches & bread,247,97.35,90.0,19,5.3,2.02,0.0,0.63,358.27,910,254,27.142857142857142
nudeln_(mit_ei),Eiernudeln,Noodles (with egg),Eiernudeln,starches & bread,284,117.35,110.0,18,5.3,2.02,0.0,0.66,370.21,897,242,31.661092530657747
pommes,Pommes,Fries,Pommes,starches & bread,1739,543.35,536.0,24,5.3,2.02,0.0,0.5,284.23,910,320,191.0989010989011
quinoa,Quinoa,Quinoa,Quinoa,starches & bread,319,127.64,88.2,99,29.7,9.77,0.0,0.64,368.0,920,250,34.67391304347826
reis,Reis,Rice,Reis,starches & bread,933,303.37,265.0,118,24.8,13.58,0.0,0.52,353.49,1088,308,85.75367647058823
reismehl,Reismehl,Rice flour,Reismehl,starches & bread,852,282.37,244.0,116,24.8,13.58,0.0,0.53,355.16,1072,302,79.4776119402985
risottoreis,Risottoreis,Risotto rice,Risottoreis,starches & bread,916,303.37,265.0,116,24.8,13.58,0.0,0.53,358.0,1081,302,84.736355226642
roggenmehl,Roggenmehl,Rye flour,Roggenmehl,starches & bread,269,90.74,88.0,8,2.7,0.0,0.0,0.54,327.22,970,296,27.7319587628866
schrot,Schrot,Wholemeal,Schrot,starches & bread,155,55.35,48.0,21,5.3,2.02,0.0,0.57,344.0,966,281,16.045548654244307
sojamehl,Sojamehl,Soy flour,Sojamehl,legumes,356,291.53,277.0,18,13.3,1.24,0.0,1.31,396.48,484,122,73.55371900826447
spaghetti,Spaghetti,Spaghetti,Spaghetti,starches & bread,250,98.35,91.0,19,5.3,2.02,0.0,0.63,358.27,910,254,27.47252747252747
suesskartoffel,Süßkartoffel,Sweet potato,Süß&shy;kar&shy;toffel,vegetables & mushrooms,159,16.93,14.5,23,2.3,0.17,0.0,0.17,98.0,922,941,17.245119305856832
topinambur,Topinambur,Jerusalem artichokes,Topi&shy;nambur,vegetables & mushrooms,450,42.21,34.0,88,8.2,0.0,0.0,0.15,48.75,520,1067,86.53846153846153
vollkorn,Vollkorn,Whole-grain,Vollkorn,starches & bread,164,55.35,48.0,22,5.3,2.02,0.0,0.54,327.22,970,296,16.90721649484536
vollkornbrot,Vollkornbrot,Whole-grain bread,Vollkornbrot,starches & bread,359,94.35,87.0,28,5.3,2.02,0.0,0.42,215.2,820,381,43.78048780487805
vollkornmehl,Vollkornmehl,Wholemeal flour,Vollkornmehl,starches & bread,196,78.35,71.0,18,5.3,2.02,0.0,0.64,342.0,855,250,22.923976608187136
